headline,tag_1,tag_2,tag_3,years,day,month,date
秉持相互尊重 平等合作 互利共赢 实现深度利益融合,合作,中法关系,深度利益融合,2017,22,0,NA
共享带来共赢（新春走基层·聚焦建设成就）,春节,成绩,建设,2017,7,0,NA
加强国际合作 共建“一带一路” 实现共赢发展,“一带一路”,国际合作,高峰论坛,2017,3,0,NA
与世界同行，助人类共赢,和平,维护,国际,2017,22,0,NA
习近平出席“共商共筑人类命运共同体”高级别会议并发表主旨演讲（提出构建人类命运共同体 实现共赢共享 建设一个持久和平、普遍安全、共同繁荣、开放包容、绿色低碳的世界）,命运共同体,演说,人类命运,2017,20,0,NA
中国倡议推动合作共赢（外国名家眼中的中国经济）,经济,合作,倡议,2017,17,0,NA
创新释放动能 协调实现共赢（协商之路）,创新,区域,地方发展,2017,4,0,NA
中国发展与世界共赢(新论),世界经济,国际贸易,创新,2016,16,0,NA
开放谋共赢 融合促繁荣(钟声),开放谋共赢,亚太,融合促,2016,22,0,NA
不断把人类和平与发展的崇高事业推向前进（深入学习贯彻习近平同志系列重要讲话精神·治国理政新思想新实践）（——关于构建以合作共赢为核心的新型国际关系的对话）,和平,思想,整治,2016,15,0,NA
朝着合作共赢方向发展 推动国际经济法理念变革（学苑论衡）,国际,整治,经济法理念,2016,7,0,NA
构建合作共赢对外开放体系（治国理政论坛）,对外开放,合作共赢,经济,2016,21,0,NA
通过各国商协会组织民间外交和务实对接，增进交流互信，促进合作共赢—— “一带一路”如何吸引企业参与（委员手记）,“一带一路”,企业,委员,2016,19,0,NA
弘扬传统友谊，深化互利合作，开辟共赢前景,合作,传统友谊,金砖国家经济行,2016,18,0,NA
弘扬传统友谊，深化互利合作，开辟共赢前景,合作,传统友谊,金砖国家经济行,2016,18,0,NA
“三峡品牌” 诠释共赢,“三峡品牌”,水电站,长江三峡集团旗,2016,7,0,NA
加强合作才能实现共赢（微议）,合作,民族地区,技术,2016,29,0,NA
取长补短，中巴纺织业合作谋共赢,合作,国际纺织服装,产品,2016,29,0,NA
包容互鉴、合作共赢已成为时代精神,合作共赢,文化,互鉴,2016,23,0,NA
河北张家口市桥西区集中供热项目引入政府与社会资本合作模式，实现百姓、政府和企业多方共赢—— 民间投资激发新活力（改革敢啃硬骨头）,改革,北京源通热力有限公司,投资,2016,18,0,NA
河北张家口市桥西区集中供热项目引入政府与社会资本合作模式，实现百姓、政府和企业多方共赢—— 民间投资激发新活力（改革敢啃硬骨头）,改革,北京源通热力有限公司,投资,2016,18,0,NA
建设包容型世界经济，夯实共赢基础（G20再出发·构建创新、活力、联动、包容的世界经济）,世界经济,建设,首脑会议,2016,14,0,NA
奏响共赢曲 引领新繁荣,“一带一路”,合作,经济,2016,7,0,NA
“一带一路”，让开放中国与世界共赢,“一带一路”,建设,倡议,2016,7,0,NA
奏响共赢曲 引领新繁荣,“一带一路”,合作,经济,2016,7,0,NA
中企投资德国，融合创造共赢,投资,企业,兼并,2016,5,0,NA
合作共赢，实现包容发展（评论员观察）,合作共赢,首脑会议,评论员,2016,2,0,NA
促进不同文明真诚对话、互学互鉴、合作共赢（深入学习贯彻习近平同志系列重要讲话精神）,文化,习近平同志,不同文明,2016,23,0,NA
携手同行 合作共赢（治国理政新思想新实践·新理念带来新变化）,合作共赢,国际关系,实践,2016,8,0,NA
携手同行 合作共赢（治国理政新思想新实践·新理念带来新变化）,合作共赢,国际关系,实践,2016,8,0,NA
发挥独特优势 寻求合作共赢 青岛开拓“一带一路”新兴市场,“一带一路”,市场,合作,2016,7,0,NA
和平合作  开放包容  互学互鉴  互利共赢 携手建设“一带一路”命运共同体,“一带一路”,建设,共同体,2016,27,0,NA
坚持合作共赢 促进共同发展,合作,共同发展,坚持,2016,18,0,NA
共建“一带一路” 推进互利共赢,“一带一路”,合作,中泰关系,2016,9,0,NA
全面深化中希、中欧合作 更好实现互利共赢,合作,中希关系,互利共赢,2016,5,0,NA
全面深化中希、中欧合作 更好实现互利共赢,合作,中希关系,互利共赢,2016,5,0,NA
树立中波合作共赢典范,合作,中波轮船公司,波兰分公司,2016,29,0,NA
区域安全与经济合作并重  打造互利共赢命运共同体 上合，迎来务实合作新时期（权威论坛）,合作,合组织,首脑会议,2016,23,0,NA
开创中塞互利共赢新局面,塞尔维亚斯梅代雷沃,中塞关系,合作,2016,22,0,NA
做强西港特区 致力合作共赢,经济特区,合作,西港特区,2016,8,0,NA
加强合作才能实现互利共赢,合作,整治,对话,2016,6,0,NA
深化产能合作 实现互利共赢,产能合作,互利共赢,理事会,2016,3,0,NA
京筑创新合作多方共赢,创新,合作,京筑,2016,31,0,NA
泛北合作，从共识到共赢,泛北合作联合专家组,广西德天瀑布,中马钦州产业园区管委会,2016,23,0,NA
十五、推动构建以合作共赢为核心的新型国际关系,合作共赢,和平,“一带一路”,2016,11,0,NA
公共外交时代更有条件合作共赢,公共外交时代,中美关系,“修昔底德陷阱”,2016,8,0,NA
安全合作迎难而上　追求共建共享共赢 搭建亚洲地区安全与合作新架构（权威论坛）,亚洲地区,合作,经济,2016,27,0,NA
责任共担  合作共赢,合作,禁毒,制贩,2016,18,0,NA
周琦选秀 如何共赢（体坛观澜）,选秀,周琦,国家队和俱乐部,2016,17,0,NA
用时间换空间 从共享到共赢 车子多车位少 错时停是一招（微调查）,车位,管理,资源,2016,4,0,NA
积极拓展互利共赢合作 坚定推进全球安全治理,合作,首脑会议,整治,2016,3,0,NA
加强中美合作，实现共赢和共同安全,合作,中美关系,共同安全,2016,3,0,NA
积极拓展互利共赢合作 坚定推进全球安全治理,合作,首脑会议,整治,2016,3,0,NA
不断推进捷中互利共赢,合作,互利共赢,中捷关系,2016,27,0,NA
合作共赢　助力中国的可持续发展,拜耳公司,合作,可持续发展,2016,25,0,NA
着眼合作共赢、共同发展 “一带一路”打造世界经济新引擎（热点辨析）,文章关键词：,NA,NA,2016,18,0,NA
开放  拥抱世界谋共赢（聚焦新发展理念）,中国,“一带一路”,竞争,2016,3,0,NA
习近平主席去年4月对巴基斯坦的访问，开辟中巴合作共赢新征程 中巴经济走廊建设硕果累累,中巴经济走廊,建设,合作,2016,19,0,NA
去库存，共赢方能有效（子夜走笔）,棚改户,商品房,政府,2016,17,0,NA
平等合作  互利共赢 中非合作与“新殖民主义”无关（热点辨析）,新殖民主义,中非合作,谴责,2016,3,0,NA
合作共赢谱新篇（《全面小康热点面对面》⑤）,合作,对外开放,经济,2016,3,0,NA
合作共赢成样板 红豆园区，花开柬埔寨（中国品牌　中国故事）,经济特区,中柬关系,故事,2016,3,0,NA
一带一路　开启合作互利共赢之窗,合作,“一带一路”,互利共赢,2015,29,0,NA
新型国际关系　以合作共赢为核心,合作,国际关系,建设,2015,29,0,NA
打造贸易中心　促进合作共赢 中国龙城落户巴林,龙城,中巴关系,中国中东投资贸易促进中心,2015,28,0,NA
交流·理解·共赢（出访归来）,交流,访问,城市,2015,23,0,NA
深入推进中哈产能合作　更好实现互利共赢,中哈关系,产能合作,互利共赢,2015,15,0,NA
为中非互利共赢提供有力支撑,合作伙伴关系,战略,“五大支柱”,2015,8,0,NA
开启中非合作共赢、共同发展的新时代（钟声）,中非合作,合作共赢,共同发展,2015,7,0,NA
开启中非合作共赢、共同发展的新时代,合作共赢,中非合作,共同发展,2015,5,0,NA
开放与共赢之举（钟声）,人民币,经济,国际货币基金组织,2015,2,0,NA
习近平出席气候变化巴黎大会开幕式并发表重要讲话（强调坚定信心 齐心协力 携手构建合作共赢、公平合理的气候变化治理机制）,气候变化,巴黎大会,出席,2015,1,0,NA
携手构建合作共赢、公平合理的气候变化治理机制,气候变化,整治,合作,2015,1,0,NA
绘合作共赢蓝图 启共同发展征程（大使随笔）,合作,大使,埃及仪仗队,2015,30,0,NA
携手开创互利共赢合作新局面,合作,中东欧国家经贸论坛,互利共赢,2015,25,0,NA
携手开创互利共赢合作新局面,合作,中东欧国家经贸论坛,互利共赢,2015,25,0,NA
世代友好　合作共赢　加快推进东亚经济—体化进程,合作,东亚,经济,2015,22,0,NA
开创“16+1”合作共赢新局面（钟声）,合作,“16+1”,中东欧,2015,21,0,NA
习近平出席亚太经合组织第二十三次领导人非正式会议并发表重要讲话（强调立足当前、面向未来，推进合作共赢，共促亚太繁荣）,亚太,会议,领导人,2015,20,0,NA
汇聚共赢发展的信心和力量,首脑会议,世界经济,安塔利亚,2015,18,0,NA
让“共赢”成为中国企业基因（感言·特别策划·中国品牌好声音）,企业,“共赢”,策划,2015,9,0,NA
坚持开放发展，着力实现合作共赢,坚持,合作共赢,经济,2015,4,0,NA
交流促互信　合作通共赢（大使随笔）,合作通共赢,交流促互信,大使,2015,3,0,NA
以合作共赢理念引领国际关系,国际关系,合作共赢,外交,2015,2,0,NA
合作共赢正当时  睦邻友好续新篇（大使随笔）,合作共赢,大使,中韩关系,2015,31,0,NA
中企“走出去”促进中德合作共赢,中德关系,合作,企业,2015,29,0,NA
世界需要中国的合作共赢理念,泰格埃格奈瓦克·盖图,合作共赢,维和,2015,6,0,NA
互利共赢合作惠及中美和世界（钟声·习近平主席美国、联合国之行系列评论③）,中美关系,合作,习近平主席,2015,5,0,NA
习近平出席第七十届联合国大会一般性辩论并发表重要讲话（强调继承和弘扬联合国宪章宗旨和原则 构建以合作共赢为核心的新型国际关系 打造人类命运共同体）,演说,颁布,一般性辩论,2015,29,0,NA
携手构建合作共赢新伙伴 同心打造人类命运共同体,合作共赢,命运共同体,人类命运,2015,29,0,NA
谋共同永续发展　做合作共赢伙伴,合作共赢,发展中国家,国际,2015,27,0,NA
合作共赢让世界更美好,合作共赢,和平,国际,2015,26,0,NA
主动作为　合作共赢 建设京津冀协同创新共同体,京津冀协同,北京市科学技术委员会,建设,2015,26,0,NA
合作共营　互利共赢,“一带一路”,互利共赢,建设,2015,23,0,NA
互利共赢　责任共担　深度互信 “一带一路”的三个共同体建设（专题深思）,“一带一路”,建设,责任共同体,2015,22,0,NA
推动合作共赢新格局,合作,“一带一路”,建设,2015,22,0,NA
互补合作　互利共赢,合作,互利共赢,粤桂黔农产品流通中心,2015,20,0,NA
和平合作　开放包容　互利共赢　携手建设更为紧密的中国—东盟命运共同体,合作,建设,和平,2015,19,0,NA
政治互信  经济共赢  文明交融 东博会：构筑海上丝绸之路合作重要平台,合作,丝绸之路,商品,2015,17,0,NA
深化经贸合作 实现互利共赢,经贸合作,中美关系,经济,2015,16,0,NA
坚持合作共赢 造福两国人民（钟声）,合作,中美关系,中国梦,2015,9,0,NA
拧成一股绳 共建谋共赢,双楼社区联合党,农村,安国镇,2015,1,0,NA
弱肉强食、穷兵黩武没有出路，和平发展、合作共赢前途光明 中国抗战胜利是人类命运共同体的胜利,人类命运,侵略,抗日战争,2015,1,0,NA
铭记二战惨痛教训，共塑以合作共赢为核心的新型国际关系,合作,国际关系,交战,2015,24,0,NA
湖州“绿”“富”谋共赢,文化,生态文明,建设,2015,6,0,NA
精诚合作　飞向共赢,合作,中国西安飞机公司,西飞,2015,31,0,NA
投资葡萄牙带来互利共赢,投资,企业,中国长江三峡集团,2015,27,0,NA
区域协同 才有共赢（生态论苑）,区域,空气质量,空气污染,2015,25,0,NA
“修建一条互利共赢之路”（专访）,铁路,巴津·占,合作,2015,24,0,NA
多些合作精神 双方才能共赢（读者聚焦）,多些合作精神,物业公司,业主,2015,14,0,NA
着眼共同发展 深化互利共赢,中俄关系,合作,会晤,2015,14,0,NA
坚定信心 合作共赢,合作,金砖,会晤,2015,12,0,NA
三地受益、四方共赢 首农奶牛找到大牧场（京津冀协同发展·关注北京外迁企业）,牧场,首农,企业,2015,7,0,NA
“对接”彰显共赢理念（钟声）,对接,合作,外交,2015,7,0,NA
亚开行和亚投行将实现共赢(国际论坛),竞争,银行,基础设施,2015,2,0,NA
深化务实合作  推动互利共赢,金砖国家合作中,经济,经济建设,2015,1,0,NA
募集社会资本，两手发力；分享节水收益，多方共赢 看合同节水管理如何“试水”,合同节水管理,条约,市场,2015,28,0,NA
加强合作实现共赢（智库峰会好声音）,合作,首脑会议,智库,2015,28,0,NA
开放包容  互利共赢 打造二十一世纪新型多边开发银行,亚投行,基础设施,筹建,2015,25,0,NA
中美文创企业合作寻求共赢,合作,洛杉矶文化创意产业园,伯班克市,2015,19,0,NA
江苏绘就体育产业蓝图  力促相关行业多元共赢,体育产业,体育消费,多元,2015,19,0,NA
以发展促安全实现共赢,亚信非政府论坛,合作,建设,2015,17,0,NA
习近平同安哥拉总统举行会谈（强调中安合作共赢、共同发展互有需要、互有优势、互为机遇）,会谈,合作,安哥拉总统,2015,10,0,NA
七彩云南飞架新丝路 辐射中心开放谋共赢,建设,产业,合作,2015,9,0,NA
双轮驱动 开放共赢（专家视点）,中国,投资,双轮驱动,2015,9,0,NA
销售实惠商品 收获互利共赢 中国电商海外市场显身手,市场,企业,消费,2015,4,0,NA
销售实惠商品  收获互利共赢 中国电商海外市场显身手,市场,网站,阿里巴巴速,2015,4,0,NA
中印两国制造业可以互利共赢（热点辨析）,中印关系,制造业,互利共赢,2015,26,0,NA
推进中巴产能和装备制造合作  更好实现共同发展互利共赢,装备,合作,中巴产能,2015,22,0,NA
推进中巴产能和装备制造合作  更好实现共同发展互利共赢,装备,合作,中巴产能,2015,22,0,NA
加快开放开发 实现合作共赢,开放开发,合作,建设,2015,21,0,NA
国强不图霸 合作促共赢（钟声·中国方略构建人类命运共同体（1））,合作,人类命运,共同体,2015,19,0,NA
对接发展战略　重在互利共赢,发展战略,中白关系,建设,2015,16,0,NA
从共鸣走向共赢（今日谈）,《喀秋莎》,音乐,大陆,2015,7,0,NA
弘扬万隆精神　推进合作共赢,合作,弘扬万隆精神,亚非拉,2015,23,0,NA
习近平在巴基斯坦议会发表重要演讲（构建中巴命运共同体　开辟合作共赢新征程）,演说,巴基斯坦议会,颁布,2015,22,0,NA
构建中巴命运共同体　开辟合作共赢新征程,合作,巴基斯坦议会,命运共同体,2015,22,0,NA
习近平在巴基斯坦议会发表重要演讲（构建中巴命运共同体　开辟合作共赢新征程）,演说,巴基斯坦议会,颁布,2015,22,0,NA
扬帆万隆精神　驶向合作共赢（大使随笔）,万隆精神,合作共赢,大使,2015,19,0,NA
开启合作共赢新航程（钟声）,合作共赢,万隆会议,外交,2015,18,0,NA
共绘互利共赢蓝图（共建“一带一路”）,“一带一路”,企业,建设,2015,17,0,NA
把握互利共赢新机遇(我看“愿景与行动”),“愿景与行动”,经济,合作,2015,14,0,NA
开放合作 和谐包容 互利共赢 “一带一路”：共创美好未来（共建“一带一路”）,“一带一路”,合作,文化,2015,13,0,NA
与广大发展中国家实现共赢共享 中国装备“走出去”赢得赞誉（国际视点）,装备,技术,三峡工程,2015,13,0,NA
“一带一路” 奏响合作共赢最强音（共建“一带一路”）,“一带一路”,合作,建设,2015,13,0,NA
万州 生产生活生态“三生”共赢,“三生”,“生产、生活、生态”,三峡库区,2015,12,0,NA
中企投资欧美，相互调适谋共赢（国际视野）,投资,外企业,市场,2015,1,0,NA
用心奏响“一带一路”共赢曲（国际论坛）,“一带一路”,区域国家,赢曲,2015,1,0,NA
合作共赢“大思路”（丝路絮语）,“大思路”,合作共赢,责任共同体,2015,31,0,NA
合作共赢，引领亚洲美好明天（钟声）,合作共赢,和平发展,瞩目亚洲,2015,30,0,NA
和平合作　开放包容　互学互鉴　互利共赢,合作,“一带一路”,建设,2015,30,0,NA
互尊互信  合作共赢  文明互鉴 共建“一带一路”愿景与行动发布,“一带一路”,景与行动,颁布,2015,29,0,NA
京张申冬奥，瞄准多方共赢（积极申办2022年冬奥会）,冬奥会,北京联合张家口,奥运会,2015,24,0,NA
亚投行，有益补充互利共赢,亚投行,互利共赢,基础设施,2015,21,0,NA
中国理论何以自信  反对结盟对抗  倡导合作共赢 中国外交理论引领世界潮流,理论,外交,国际关系,2015,20,0,NA
共同努力，打造互利共赢融资平台,亚投行,基础设施,互利共赢,2015,18,0,NA
推进战略布局  实现共赢发展,战略布局,经济增长,经济建设,2015,16,0,NA
一带一路：开放共赢拓新局（直面新常态）,“一带一路”,经济,代表,2015,13,0,NA
海外投资  合作共赢（新常态·国际视域）,国际,投资,合作,2015,13,0,NA
一带一路 合作共赢（代表委员议国是）,代表,合作,建设,2015,11,0,NA
生存和生态要“共赢”(基层春潮),“共赢”,建设,农民,2015,9,0,NA
传播中华文化 倡导合作共赢 福建引爆“文化交流热”,“文化交流热”,福建省歌舞剧院,联合国总部,2015,9,0,NA
加入合作共赢进程（丝路絮语）,合作共赢,文化,建设,2015,17,0,NA
和平合作  开放包容  互学互鉴  互利共赢 共建21世纪海上丝路正当其时,丝路,合作,文化,2015,13,0,NA
努力实现“一带一路”建设良好开局  推动中国和沿线国家互利共赢共同发展,“一带一路”,建设,沿线国家,2015,2,0,NA
努力实现“一带一路”建设良好开局  推动中国和沿线国家互利共赢共同发展,“一带一路”,建设,沿线国家,2015,2,0,NA
从增量到提质　以合作谋共赢 金砖国家，转型中砥砺前行（权威论坛）,巴西金砖国家政策研究中心,经济,合作,2015,26,0,NA
坚持相互尊重、开拓创新、合作共赢  携手将中瑞关系推向更高水平,合作,中瑞关系,坚持,2015,22,0,NA
科技创新结硕果  示范推广得共赢,科技,示范推广,农业,2015,19,0,NA
维护地区和世界的和平稳定　推动中拉整体合作互利共赢,合作,中拉关系,互利共赢,2015,10,0,NA
亚投行，推动亚洲互利共赢（权威论坛）,亚投行,基础设施,经济,2015,8,0,NA
中法企业相互借力谋共赢,企业,中法关系,地中海俱乐部股份,2015,5,0,NA
合作动真格，共赢才有望（说道）,合作动,污染,环保部门,2014,10,0,NA
中印将合拍电影谋共赢,电影,中印关系,合作,2014,1,0,NA
京津冀：产业协同谋共赢（京津冀协同发展）,产业,京津冀协同,协同发展,2014,28,0,NA
优势叠加  合作共赢,京津冀协同,合作共赢,交通,2014,27,0,NA
共享丝路遗产 实现合作共赢（丝路絮语）,合作共赢,城市,文化,2014,18,0,NA
包容凝聚力量 合作缔造共赢（聚焦亚太经合组织领导人非正式会议）,亚太,合作,会议,2014,6,0,NA
南亚：合作共赢新契机（丝路观察）,南亚,合作共赢,区域,2014,23,0,NA
“泛珠”十年 互利共赢,“泛珠”,合作,互利共赢,2014,15,0,NA
用“共赢指标”把脉中国发展（钟声）,“共赢指标”,把脉,经济,2014,13,0,NA
互利共赢谋福祉 深化友谊聚民心,互利共赢,合作,中印关系,2014,21,0,NA
秉持互利共赢理念加强农业合作,农业,合作,亚太,2014,20,0,NA
友好·互利·共赢,文章关键词：,NA,NA,2014,15,0,NA
美丽与发展共赢 建宜居宜业新临河,物流,宜居,宜业,2014,13,0,NA
友好往来暖人心　真诚合作促共赢 “中国永远是我们的朋友”,友好,“中国制造”,故事,2014,12,0,NA
习近平同津巴布韦总统穆加贝举行会谈（强调中津要做平等相待、相互支持、互利共赢、共同发展的好朋友、好伙伴、好兄弟）,会谈,穆加贝,津巴布韦总统,2014,26,0,NA
习近平在蒙古国国家大呼拉尔发表重要演讲（强调互尊互信、聚同化异、守望相助、合作共赢，共创中蒙关系发展新时代，共促亚洲稳定和繁荣）,蒙古国国家大呼拉尔,演说,中蒙关系,2014,23,0,NA
打通多点执业“最后一公里”（不吐不快）（●推行医师多点执业是一盘棋，需要各方共同努力，扫除政策障碍，力争实现共赢，让患者看病首选医生的日子将不再遥远）,医院,“最后一公里”,政策,2014,15,0,NA
建设孟中印缅经济走廊是共赢选择,经济走廊,孟中印缅,建设,2014,31,0,NA
在合作共赢、携手共进中 拓市场 促经济 利百姓,市场,拉美,复旦大学金砖研究中心,2014,27,0,NA
种下和谐  收获共赢（亲诚惠容·进行时）,上海鼎信投资集团,收获共赢,青山工业园区,2014,22,0,NA
分享发展经验  实现互利共赢,拉美,中拉关系,合作,2014,9,0,NA
深化传统友谊 推动合作共赢,合作,传统友谊,访问,2014,8,0,NA
共商  共建  共赢  共享 新丝路，众人拾柴火焰高,建设,文化,合作,2014,3,0,NA
团结互信 合作共赢（论坛好声音）,合作共赢,团结互信,NA,2014,3,0,NA
承载历史开拓未来的全新合作共赢之路,合作,历史,建设,2014,3,0,NA
习主席的“丝路新语”（·和平合作·开放包容·互学互鉴·互利共赢）,合作,丝路,“丝路新语”,2014,2,0,NA
同舟共济  互利共赢 中国为推动亚洲发展发挥积极作用,和平,亚洲发展,合作,2014,1,0,NA
习近平出席纪念大会并发表主旨讲话（强调弘扬和平共处五项原则　建设合作共赢美好世界李克强主持大会　张德江俞正声等与缅甸总统吴登盛、印度副总统安萨里出席）,纪念,颁布,和平共处五项原则,2014,29,0,NA
弘扬和平共处五项原则　建设合作共赢美好世界,和平共处五项原则,合作,建设,2014,29,0,NA
寻求共同发展与共赢,合作,建设,专家,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 丝路精神　再现辉煌,丝路精神,建设,文化,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 求同存异　相向而行,合作,求同存异,相向,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 丝路合作　文化先行,合作,文化先行,建设,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 知古鉴今　共建丝路,知古鉴今,合作,丝路,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 吉中合作　创新模式,合作,创新,克·伊玛纳利耶夫,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 政治平等　经济共赢,“丝绸之路经济带”,政治,建设,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 讲好故事　扩大共识,扩大共识,故事,合作,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 外交战略　一脉相承,罗伯特·劳伦斯·库恩,外交战略,外交政策,2014,28,0,NA
共建共享与共赢共荣的新机遇——丝绸之路经济带国际研讨会发言摘编 公共外交　互利互惠,“丝绸之路经济带”,江布尔州代表团,哈萨克斯坦东干人协会,2014,28,0,NA
加强沟通合作交流　共建共享共赢共荣 丝绸之路经济带国际研讨会开幕,丝绸之路,经济带,研讨会,2014,27,0,NA
互利共赢，大坝承载中文友谊（亲诚惠容·进行时）,中国水利水电建设集团,中文,互利共赢,2014,22,0,NA
农业节水 多方共赢,节水,多方共赢,农业,2014,20,0,NA
中国航油：混合实现共赢（转型·活力）,泽胜,运输,油料检测单位适航,2014,17,0,NA
混合发展中实现共赢（转型·活力）,企业,混合发展,所有制,2014,29,0,NA
习近平同吉尔吉斯斯坦总统会谈（强调坚持友好互信互利共赢深化中吉战略伙伴关系）,会谈,合作,中吉关系,2014,19,0,NA
平等互信 互利共赢 推动中肯关系与合作取得更大发展,合作,平等互信,互利共赢,2014,11,0,NA
平等互信 互利共赢 推动中肯关系与合作取得更大发展,合作,平等互信,互利共赢,2014,11,0,NA
交流合作 互利共赢,合作,交流,创新,2014,9,0,NA
中企在美投资带来互利共赢（ 国际视点）,投资,就业,亚迪公司,2014,30,0,NA
以共赢视野看欧非自贸谈判（经济透视）,对话,经济,自贸,2014,21,0,NA
黄河金三角 迎来新一春（经济聚焦·直击改革前沿）（山西运城、临汾，陕西渭南，河南三门峡，四个欠发达城市正努力突破行政区划谋求共赢）,黄河金三角,机制,经济,2014,15,0,NA
双轮驱动，中拉互利共赢（观点）,中拉关系,拉美,互利共赢,2014,15,0,NA
搭建合作共赢新平台,“海上丝绸之路”,合作,城市,2014,14,0,NA
博鳌亚洲论坛两岸企业家圆桌会议积极探讨机遇与挑战、合作与共赢 发掘两岸经济合作的新动力,两岸经济合作,发掘两岸,产业,2014,11,0,NA
让开放创造更多共赢(今日谈),创新,经济,“中国制造”,2014,1,0,NA
维护和平发展大义 促进合作共赢信心,和平,维护,合作共赢,2014,30,0,NA
深化中欧合作　增进互利共赢,合作,欧盟委员会,中欧,2014,21,0,NA
友谊世代相传　合作互利共赢,合作,工厂,互利共赢,2014,19,0,NA
提升合作速度　奏响共赢旋律,合作,中德关系,友好,2014,18,0,NA
建新拆旧 谋求共赢（走转改·一线调查）,农民,拆旧,建设,2014,14,0,NA
深化中欧合作 促进互利共赢,合作,中欧关系,深化中欧,2014,12,0,NA
创新驱动 优势互补 合作共赢,合作,创新驱动,产业,2014,5,0,NA
优势互补互利共赢扎实推进努力实现京津冀一体化发展,京津,一体化,优势互补,2014,28,0,NA
重走丝绸之路，海外华媒见证合作共赢（侨联四海）,丝绸之路,合作,华媒,2014,27,0,NA
开放包容，携手发展谋共赢（钟声）,“一带一路”,开放包容,合作,2014,26,0,NA
中法车企联姻谋共赢,中法关系,PSA,合作,2014,19,0,NA
治理与保护并重 人居与发展共赢 杭州 用好运河“金名片”,“金名片”,西历史街区,桥西直街,2014,15,0,NA
埃俄走近谋共赢,塞西和法赫米,埃俄,埃及武装部队最高委员会,2014,14,0,NA
绿色发展 双边共赢,威立雅,企业,环境集团,2014,27,0,NA
实现“为民”与“共赢”的有机统一（名家笔谈）,外交,有机统一,“为民”,2014,27,0,NA
“希望更多中国商船停靠这里”（中国梦·共赢曲）,安特卫普港,商船停靠这里,中国梦,2014,20,0,NA
妥协中谋求共赢（权威论坛）,对话,协议,多哈回合谈判,2014,14,0,NA
中企温暖伏尔加河古城（中国梦·共赢曲）,中国梦,雅罗斯拉夫尔市,古城,2014,13,0,NA
加强交流合作 实现互利共赢,交流合作,互利共赢,科技,2014,11,0,NA
万华为中企树立威信和口碑（中国梦·共赢曲）,博苏化学公司工业园,中国梦,华为,2014,4,0,NA
华夏文化融入英伦（中国梦·共赢曲）,文化,中国梦,融入英伦,2014,3,0,NA
中国梦将给德国带来机遇（中国梦·共赢曲）,中德关系,中国梦,企业,2013,23,0,NA
青体中心承载突中共同梦想（中国梦·共赢曲）,中国梦,青体中心,青年文化体育中心,2013,21,0,NA
中国投资助力美国制造业复苏（中国梦·共赢曲）,投资,中美关系,中国梦,2013,14,0,NA
唐人街改造，点亮悉尼的明珠（中国梦·共赢曲）,唐人街,改造,中国梦,2013,10,0,NA
把不冲突不对抗、相互尊重、合作共赢精神落实到中美关系方方面面,合作,中美关系,相互尊重,2013,5,0,NA
中企助力哈萨克斯坦迈入4G时代（中国梦·共赢曲）,中哈关系,中国梦,华为,2013,3,0,NA
加快中国企业走出去步伐  造福当地实现互利共赢,企业,中国华为技术罗马尼亚公司,互利共赢,2013,29,0,NA
以长远眼光推进中罗、中国—中东欧合作实现互利共赢共同发展,中罗关系,合作,中东欧,2013,28,0,NA
以长远眼光推进中罗、中国—中东欧合作实现互利共赢共同发展,中罗关系,合作,中东欧,2013,28,0,NA
让互利共赢之路越走越宽广,中东欧国家经贸论坛,互利共赢,合作,2013,28,0,NA
对外经济，多方共赢（改革开放35年·经济发展成果述评⑤）,改革开放,经济建设,评论,2013,26,0,NA
阿拉伯与非洲抱团谋共赢,阿拉伯,合作,首脑会议,2013,21,0,NA
“中国公司帮我们圆梦”（中国梦·共赢曲）,辛姆巴科公司,巴基斯坦记者,中巴关系,2013,11,0,NA
看好中国  共赢未来(外国政要眼中的中国梦),欧亨尼奥·布雷戈拉特,政要,驻华大使,2013,10,0,NA
中企助赞比亚填补火电空白（中国梦·共赢曲）,中赞关系,赞比亚曼巴煤矿公司,火电空白,2013,9,0,NA
“友好中国”助游客畅游西班牙（中国梦·共赢曲）,“友好中国”,中西关系,弗拉门戈博物馆,2013,5,0,NA
为赞比亚打开发展之窗（中国梦·共赢曲）,中赞关系,赞中经贸合作区投资论坛,卢萨卡机场,2013,4,0,NA
弘扬对话互利共赢精神,对话,甘肃文化,首脑会议,2013,1,0,NA
追求同各国互利共赢、共同发展 中国梦为世界梦注入正能量,合作,发展中国家,历史,2013,31,0,NA
